System,Domain,Task,Authors,Notability criteria,Notability criteria notes,Open-source,Link,Citations,Reference,Publication date,Organization,Parameters,Parameters notes,Training compute (FLOP),Training compute notes,Training dataset,Training dataset notes,Training dataset size (datapoints),Dataset size notes,Epochs,Inference compute (FLOP),Inference compute notes,Training time (hours),Training time notes,Training hardware,Approach,Training compute cost (2020 USD),Compute cost notes,Compute sponsor categorization,Confidence,Abstract,Last modified,Created By,Benchmark data,Exclude,Country (from Organization),Base model,Finetune compute (FLOP),Finetune compute notes,Hardware quantity,Hardware utilization,Training cost trends,Training cloud compute vendor,Training data center,Archived links,Batch size,Batch size notes,Organization categorization,Foundation model,Training compute lower bound,Training compute upper bound,Training chip-hours
VideoMAE V2,Video,Action recognition,"Limin Wang, Bingkun Huang, Zhiyu Zhao, Zhan Tong, Yinan He, Yi Wang, Yali Wang, Yu Qiao",SOTA improvement,"""Finally, we successfully train a video ViT model with a
billion parameters, which achieves a new state-of-the-art
performance on the datasets of Kinetics (90.0% on K400
and 89.9% on K600) and Something-Something (68.7% on
V1 and 77.0% on V2).""",Fully open-source,https://arxiv.org/abs/2303.16727v2,99.00,VideoMAE V2: Scaling Video Masked Autoencoders with Dual Masking,2023-03-29,"Nanjing University,Shenzhen Institute of Advanced Technology,Shanghai AI Lab",1000000000.00,1B,9.7e+21,"finetuned on ViT-g (smaller than ViT-G with 1B params)

""It takes more than two weeks to pre-train a ViT-g model with VideoMAE
on 64 A100 GPUs""

64 * 312 trillion * 2 * 7 * 24 * 3600 * 0.4 (utilization assumption) = 9.7e21",,"""To well support the billion-level ViT model pretraining, we build two large-scale video datasets for our proposed progressive training. For self-supervised pre-training of VideoMAE V2, we build a million-level unlabeled video
dataset by collecting clips from multiple resources such
as Movie, Youtube, Instagram, General Webs, and manual recordings from scripts, and the dataset is termed as
UnlabeledHybrid""",,"1.35 million video clips. Not sure about average length (34 seconds, but that's only reported for Instagram portion).

""In total, there are around 1.35M clips in our mixed dataset and
this is the largest dataset ever used for video masked autoencoding.",1200.00,,,330.0,2 weeks,NVIDIA A100 SXM4 80 GB,Self-supervised learning,,,,Likely,"Scale is the primary factor for building a powerful foundation model that could well generalize to a variety of downstream tasks. However, it is still challenging to train video foundation models with billions of parameters. This paper shows that video masked autoencoder (VideoMAE) is a scalable and general self-supervised pre-trainer for building video foundation models. We scale the VideoMAE in both model and data with a core design. Specifically, we present a dual masking strategy for efficient pre-training, with an encoder operating on a subset of video tokens and a decoder processing another subset of video tokens. Although VideoMAE is very efficient due to high masking ratio in encoder, masking decoder can still further reduce the overall computational cost. This enables the efficient pre-training of billion-level models in video. We also use a progressive training paradigm that involves an initial pre-training on a diverse multi-sourced unlabeled dataset, followed by a post-pre-training on a mixed labeled dataset. Finally, we successfully train a video ViT model with a billion parameters, which achieves a new state-of-the-art performance on the datasets of Kinetics (90.0% on K400 and 89.9% on K600) and Something-Something (68.7% on V1 and 77.0% on V2). In addition, we extensively verify the pre-trained video ViT models on a variety of downstream tasks, demonstrating its effectiveness as a general video representation learner. The code and model is available at \url{this https URL}.",2024-02-29 15:10,Anonymous,,0,"China,China,China",ViT-G/14,9,"finetuned on ViT-g (smaller than ViT-G with 1B params)

""It takes more than two weeks to pre-train a ViT-g model with VideoMAE
on 64 A100 GPUs""

64 * 312 trillion * 2 * 7 * 24 * 3600 * 0.4 (utilization assumption) = 9.7e21
",,,,,,,,,Academia,,,,0
Sparse Wide GPT-3 Small,Language,,"Shreyas Saxena, Vithursan Thangarasa, Abhay Gupta, Sean Lie",,,,https://arxiv.org/abs/2303.11525,2.00,Sparse Iso-FLOP Transformations for Maximizing Training Efficiency,2023-03-21,Cerebras Systems,1300000000.00,,88400000000000000000.00,,,,,,110.00,,,,,,,,,,,,2024-03-05 09:37,Robi Rahman,Sparse Wide GPT-3 Small,,Multinational,,,,,,,,,,,,Industry,,,,0
LightOn Mini,Language,"Language modelling/generation,Chat",,,,,https://www.lighton.ai/blog/lighton-s-blog-4/lighton-s-large-language-model-of-40-billion-parameters-mini-19,,LightOn's Large Language Model of 40 billion parameters: MINI,2023-03-21,LightOn,40000000000.00,"""Boasting an impressive 40 billion parameters, Mini is a formidable addition to the growing array of language models available in the market today.""",2.4e+23,6ND aproximation: 6*40B*1T = 2.4e23,,"""The amount of data in Mini corpus is 1 trillion tokens. We mainly used data from the public web to pre-train our model, with strong filtering, toxicity reduction, and deduplication to ensure that only high-quality data is retained.""",750000000000,"""The amount of data in Mini corpus is 1 trillion tokens. We mainly used data from the public web to pre-train our model, with strong filtering, toxicity reduction, and deduplication to ensure that only high-quality data is retained.""  assuming 0.75 words per token - 750000000000.0 words",,80000000000.00,2N,,,,Self-supervised learning,,,,Likely,,2024-02-16 15:25,Bartosz Podkanowicz,,,France,,,,,,,,,,,,Industry,,,,0
Firefly,Image generation,Image generation,,Significant use,"Integrated into Photoshop. Users generate >200m images within a few months of release:

https://venturebeat.com/ai/adobe-stock-creators-arent-happy-with-firefly-the-companys-commercially-safe-gen-ai-tool/",,https://news.adobe.com/news/news-details/2023/Adobe-Unveils-Firefly-a-Family-of-new-Creative-Generative-AI/default.aspx,,"Adobe Unveils Firefly, a Family of new Creative Generative AI",2023-03-21,Adobe,,,,,,"""The current Firefly generative AI model is trained on a dataset of licensed content, such as Adobe Stock, and public domain content where copyright has expired.""

https://www.adobe.com/products/firefly.html",,,,,,,,,,,,,Likely,"Today, Adobe (Nasdaq:ADBE) introduced Adobe Firefly, a new family of creative generative AI models, first focused on the generation of images and text effects. Adobe Firefly will bring even more precision, power, speed and ease directly into Creative Cloud, Document Cloud, Experience Cloud and Adobe Express workflows where content is created and modified. Adobe Firefly will be part of a series of new Adobe Sensei generative AI services across Adobe’s clouds.",2024-02-29 11:14,Anonymous,,0,United States of America,,,,,,,,,,,,Industry,,,,0
Gen-2,Video,Video generation,Gen-2 authors,SOTA improvement,"Website claims SOTA improvement over Stable Diffusion and Text2Live, paper forthcoming",,https://research.runwayml.com/gen2,0.00,,2023-03-20,Runway,,,,,,,,,,,,,,,,,,,Speculative,,2024-02-21 22:22,Anonymous,,0,United States of America,,,,,,,,,,,,Industry,,,,0
PanGu-Σ,Language,"Code generation,Language modelling","Xiaozhe Ren, Pingyi Zhou, Xinfan Meng, Xinjing Huang, Yadao Wang, Weichao Wang, Pengfei Li, Xiaoda Zhang, Alexander Podolskiy, Grigory Arshinov, Andrey Bout, Irina Piontkovskaya, Jiansheng Wei, Xin Jiang, Teng Su, Qun Liu, Jun Yao",SOTA improvement,"""Our experimental findings show that PanGu-{\Sigma} provides state-of-the-art performance in zero-shot learning of various Chinese NLP downstream tasks.""",,https://arxiv.org/abs/2303.10845,34.00,PanGu-Σ: Towards Trillion Parameter Language Model with Sparse Heterogeneous Computing,2023-03-20,Huawei Noah's Ark Lab,1085000000000.00,"""In this work, we present PanGu-Σ , a large language model with sparse architecture containing 1.085 trillion parameters.""",4.669999999999999e+23,"It has sparse architecture, so we can't use C=6ND.
""We develop PanGu-Σ model under the framework of MindSpore and train it on a cluster with only 512 Ascend 910 AI Accelerators with 329 billion tokens over 100 days.""
100 days * 512 processors * 320 teraFLOPS/processor * 33% utilization = 4.67e+23 FLOP
https://www.wolframalpha.com/input?i=100+days+*+512+*+320+terahertz+*+0.33",,"""329B tokens in more than 40 natural and programming languages""",246750000000,329B tokens ~= 247B words,1.84,,,2400.0,"We develop PanGu-Σ model under the framework of MindSpore 5
and train it on a cluster with only 512 Ascend 910 AI Accelerators [28] with 329 billion tokens over 100 days.",Huawei Ascend 910,Self-supervised learning,,,Industry,Confident,"The scaling of large language models has greatly improved natural language understanding, generation, and reasoning. In this work, we develop a system that trained a trillion-parameter language model on a cluster of Ascend 910 AI processors and MindSpore framework, and present the language model with 1.085T parameters named PanGu-{\Sigma}. With parameter inherent from PanGu-{\alpha}, we extend the dense Transformer model to sparse one with Random Routed Experts (RRE), and efficiently train the model over 329B tokens by using Expert Computation and Storage Separation(ECSS). This resulted in a 6.3x increase in training throughput through heterogeneous computing. Our experimental findings show that PanGu-{\Sigma} provides state-of-the-art performance in zero-shot learning of various Chinese NLP downstream tasks. Moreover, it demonstrates strong abilities when fine-tuned in application data of open-domain dialogue, question answering, machine translation and code generation.",2024-03-01 09:09,Anonymous,,0,China,,,,512,,PanGu-Σ,,,,524288,"""We train PanGu-Σ with global batch size of 512 with sequence length of 1024 for each sample""",Industry,,,,1228800
GPT-4,Multimodal,Language modelling,OpenAI,"Highly cited,SOTA improvement","See the paper, p.1: ""On a suite of traditional NLP benchmarks, GPT-4 outperforms both previous large language models and most state-of-the-art systems (which often have benchmark-specific training or hand-engineering).""",API accessible,https://arxiv.org/abs/2303.08774,2767.00,GPT-4 Technical Report,2023-03-15,OpenAI,,,2.1e+25,"90% CI: 8.2E+24 to 4.4E+25

NOTE: this is a rough estimate based on public information, much less information than most other systems in the database.

Calculation and confidence intervals here: https://colab.research.google.com/drive/1O99z9b1I5O66bT78r9ScslE_nOj5irN9?usp=sharing",,,4900000000000,"Speculative. Reported secondhand by online sources such as Semianalysis, but not verified by OpenAI. If total number of tokens seen was 13T, text was repeated for 2 epochs, and text was the majority of tokens, then dataset size roughly is 13T*0.75/2 = 4.9T words.

Note this examines only the text dataset, since GPT-4 was first and foremost a language model. However, the vision component had its own vision dataset, which we believe accounted for a much smaller part of the compute budget.",2.00,,,2280.0,(Speculative) SemiAnalysis conjectures that GPT-4 training took 90-100 days with utilization of 32-36%.,NVIDIA A100 SXM4 40 GB,Self-supervised learning,,,Industry,Speculative,,2024-03-01 09:16,Robi Rahman,,0,United States of America,,,,25000,0.3400,GPT-4,,,,,,Industry,checked,,,57000000
Falcon-40B,Language,Language modelling,,Historical significance,,Fully open-source,https://www.tii.ae/news/abu-dhabi-based-technology-innovation-institute-introduces-falcon-llm-foundational-large,0.00,Abu Dhabi-based Technology Innovation Institute Introduces Falcon LLM: Foundational Large Language Model (LLM) outperforms GPT-3 with 40 Billion Parameters,2023-03-15,Technology Innovation Institute,40000000000.00,Model comes in 7B and 40B variants.,2.4e+23,C = 6ND = 6 * 40B * 1000B = 2.4e+23 FLOP (assuming one epoch),RefinedWeb,"Falcon-40B was trained on 1,000B tokens of RefinedWeb, a high-quality filtered and deduplicated web dataset which we enhanced with curated corpora. Significant components from our curated copora were inspired by The Pile (Gao et al., 2020).",750000000000,1000B tokens ~= 750B words,,80000000000.00,80B FLOP per token,1440.0,"""Falcon-40B was trained on AWS SageMaker, on 384 A100 40GB GPUs in P4d instances.""
""Training started in December 2022 and took two months.""",NVIDIA A100,,,,Academia,Confident,,2024-03-06 10:30,Anonymous,,0,United Arab Emirates,,,,384,0.3864,Falcon-40B,,,,2359296,"Batch size 1152 (presumably sequences) per Table 16. Warmed up using smaller batches for first 100B tokens.

""All Falcon models are pretrained with a 2,048 sequence length""

https://arxiv.org/pdf/2311.16867.pdf
",Government,checked,,,552960
LEP-AD,Biology,"Proteins,Protein interaction prediction","Anuj Daga, Sumeer Ahmad Khan, David Gomez Cabrero, Robert Hoehndorf, Narsis A. Kiani, Jesper Tegner",SOTA improvement,"""We report new best-in-class state-of-the-art results compared
to competing methods such as SimBoost, DeepCPI, Attention-DTA, GraphDTA,
and more using multiple datasets, including Davis, KIBA, DTC, Metz, ToxCast,
and STITCH. Finally, we find that a pre-trained model with embedding of proteins
(the LED-AD) outperforms a model using an explicit alpha-fold 3D representation of proteins (e.g., LEP-AD supervised by Alphafold)""",,https://www.biorxiv.org/content/10.1101/2023.03.14.532563v1.full.pdf,1.00,LEP-AD: Language Embedding of Proteins and Attention to Drugs predicts Drug Target Interactions,2023-03-15,,,,,,,,,,,,,,,,,,,,Unverified,,2024-02-21 22:24,Anonymous,,,,ESM2-3B,,,,,,,,,,,,,,,0
Claude,Language,Language modelling,,"Historical significance,SOTA improvement",,,https://www.anthropic.com/index/introducing-claude,0.00,Introducing Claude,2023-03-14,Anthropic,,,,,,,,,,,,,,,Reinforcement learning,,,,Speculative,"Claude is a next-generation AI assistant based on Anthropic’s research into training helpful, honest, and harmless AI systems. Accessible through chat interface and API in our developer console, Claude is capable of a wide variety of conversational and text processing tasks while maintaining a high degree of reliability and predictability.",2024-02-26 20:48,Anonymous,,,United States of America,,,,,,,,,,,,Industry,checked,,,0
VALL-E X,Speech,,"Ziqiang Zhang, Long Zhou, Chengyi Wang, Sanyuan Chen, Yu Wu, Shujie Liu, Zhuo Chen, Yanqing Liu, Huaming Wang, Jinyu Li, Lei He, Sheng Zhao, Furu Wei",,,Unreleased,https://arxiv.org/abs/2303.03926,49.00,Speak Foreign Languages with Your Own Voice: Cross-Lingual Neural Codec Language Modeling,2023-03-07,Microsoft,700000000.00,"""For the cross-lingual codec language models, φMAR and φMNAR are both 12-layer Transformer decoders with an attention dimension of 1024 and the FFN dimension of 4096.""

These are two parts of the model.

According to Ben's script, that's 353M parameters, or ~700M for both
(https://github.com/bencottier/ml-parameter-count/blob/main/parameter_count.py)",,""" The batch sizes of speech and phonemes on each GPU are 1,400,000 (87.5 seconds) and 3,000, respectively. The maximum learning
rate is 5e-4 with warm-up steps of 32,000. The model is pre-trained on 32 V100 GPUs for 400K step""

not sure about passes per batch","LibriLight,WenetSpeech","""Our VALL-E X is trained using bilingual speech-transcription (ASR) data. The Chinese ASR data
are from WenetSpeech [Zhang et al., 2022a] containing 10,000+ hours of multi-domain labeled
speech. The English ASR data are from LibriLight [Kahn et al., 2020] containing about 60,000 hours
of unlabeled speech, whose speech data are collected from audiobooks. We train a Kaldi4 ASR model
on the labeled Librispeech [Panayotov et al., 2015] dataset to generate the pseudo transcripts for the
unlabeled LibriLight speech.
To train the speech recognition & translation model for S2ST, we also use additional MT and ST
data. The MT data are from AI Challenger5
, OpenSubtitles20186
and WMT20207, which contain
about 13M, 10M, and 50M sentence pairs in conversion, drama8
, and news domains, respectively.""",910000000,"70k hours, mix of Chinese and English but mostly English
70k * 13k words/hour = 910,000,000 words",,,,,,NVIDIA V100,,,,,Likely,"We propose a cross-lingual neural codec language model, VALL-E X, for cross-lingual speech synthesis. Specifically, we extend VALL-E and train a multi-lingual conditional codec language model to predict the acoustic token sequences of the target language speech by using both the source language speech and the target language text as prompts. VALL-E X inherits strong in-context learning capabilities and can be applied for zero-shot cross-lingual text-to-speech synthesis and zero-shot speech-to-speech translation tasks. Experimental results show that it can generate high-quality speech in the target language via just one speech utterance in the source language as a prompt while preserving the unseen speaker's voice, emotion, and acoustic environment. Moreover, VALL-E X effectively alleviates the foreign accent problems, which can be controlled by a language ID. Audio samples are available at \url{this https URL}.",2024-03-01 09:13,Anonymous,,0,Multinational,,,,,,,,,,,,Industry,,,,0
PaLM-E,Robotics,,"Danny Driess, Fei Xia, Mehdi S. M. Sajjadi, Corey Lynch, Aakanksha Chowdhery, Brian Ichter, Ayzaan Wahid, Jonathan Tompson, Quan Vuong, Tianhe Yu, Wenlong Huang, Yevgen Chebotar, Pierre Sermanet, Daniel Duckworth, Sergey Levine, Vincent Vanhoucke, Karol Hausman, Marc Toussaint, Klaus Greff, Andy Zeng, Igor Mordatch, Pete Florence",SOTA improvement,"""Our largest model, PaLM-E-562B with 562B parameters, in addition to being
trained on robotics tasks, is a visual-language generalist
with state-of-the-art performance on OK-VQA, and retains
generalist language capabilities with increasing scale.""",,https://arxiv.org/abs/2303.03378,598.00,PaLM-E: An Embodied Multimodal Language Model,2023-03-06,"Google,TU Berlin",562000000000.00,562B,,"Based on Palm-540B and ViT-22B and then trained on robotics data.

",,"""Our three robot environments (Fig. 1) include a Task and Motion Planning (TAMP) domain where a robot has to manipulate (grasp and stack) objects, a table-top pushing environment, and a mobile manipulation domain. In each domain, PaLM-E is trained on expert data from that domain. In many cases, this is a sparse amount of data per task. The TAMP tasks involve large combinatorics over possible plans, and many decision sequences are infeasible. PaLM-E has to generate plans that consist of multiple steps, with complicated decision boundaries. The multi-object tabletop pushing environment is taken from the publicly available Language-Table dataset (Lynch et al., 2022) and is challenging since it includes several objects, large cardinality of language, and complex pushing dynamics""",,,,,,,,,,,,,Likely,"Large language models excel at a wide range of complex tasks. However, enabling general inference in the real world, e.g., for robotics problems, raises the challenge of grounding. We propose embodied language models to directly incorporate real-world continuous sensor modalities into language models and thereby establish the link between words and percepts. Input to our embodied language model are multi-modal sentences that interleave visual, continuous state estimation, and textual input encodings. We train these encodings end-to-end, in conjunction with a pre-trained large language model, for multiple embodied tasks including sequential robotic manipulation planning, visual question answering, and captioning. Our evaluations show that PaLM-E, a single large embodied multimodal model, can address a variety of embodied reasoning tasks, from a variety of observation modalities, on multiple embodiments, and further, exhibits positive transfer: the model benefits from diverse joint training across internet-scale language, vision, and visual-language domains. Our largest model, PaLM-E-562B with 562B parameters, in addition to being trained on robotics tasks, is a visual-language generalist with state-of-the-art performance on OK-VQA, and retains generalist language capabilities with increasing scale.",2024-03-01 09:19,Anonymous,,0,"Multinational,Germany",PaLM (540B),,"Based on Palm-540B and ViT 22B. No compute details given.

""We scale PaLM-E up to 562B parameters, integrating the 540B PaLM (Chowdhery et al., 2022) LLM and the 22B Vision Transformer (ViT) (Dehghani et al., 2023) into, to our knowledge, the largest vision-language model currently reported.""",,,,,,,,,"Industry,Academia",checked,,,0
AudioGen,Audio,Audio generation,"Felix Kreuk, Gabriel Synnaeve, Adam Polyak, Uriel Singer, Alexandre Défossez, Jade Copet, Devi Parikh, Yaniv Taigman, Yossi Adi",SOTA improvement,"""We propose a state-of-the-art auto-regressive audio generation model conditioned on textual descriptions or audio prompts, as evaluated with objective and subjective (human
listeners) scores.""",Permissive license,https://arxiv.org/abs/2209.15352,114.00,AudioGen: Textually Guided Audio Generation,2023-03-05,"Meta AI,Hebrew University of Jerusalem",1000000000.00,"""We trained two sets of ALMs, one with 285M parameters (base) and the other
with 1B parameters (large).""",7.2e+21,"""the large model was trained on 128 A100 GPUs for 200k steps (∼1 week)""
A100s are 312 teraflop/s

128 * 312 trillion * 7 * 24 * 3600 * 0.3 (utilization assumption) = 7.2e21","AudioSet,AudioCaps","""We use a set of several datasets: AudioSet (Gemmeke et al., 2017), BBC sound effects,
AudioCaps (Kim et al., 2019), Clotho v2 (Drossos et al., 2020), VGG-Sound (Chen et al., 2020),
FSD50K (Fonseca et al., 2021), Free To Use Sounds 2
, Sonniss Game Effects 3
, WeSoundEffects 4
,
Paramount Motion - Odeon Cinematic Sound Effects 5
. All audio files were sampled at 16kHz.
For textual descriptions we use two types of annotations. The first one is multi-label annotations,
available for the datasets: AudioSet, VGG-Sound, FSD50K, Sinniss Game Effects, WeSoundEffects, Paramount Motion - Odeon Cinematic Sound Effects.""",,"""Overall we are left with ∼4k hours for training data.""
mix of speech and other sounds",,,,168.0,1 week,NVIDIA A100,,,,,Likely,"We tackle the problem of generating audio samples conditioned on descriptive text captions. In this work, we propose AaudioGen, an auto-regressive generative model that generates audio samples conditioned on text inputs. AudioGen operates on a learnt discrete audio representation. The task of text-to-audio generation poses multiple challenges. Due to the way audio travels through a medium, differentiating ``objects'' can be a difficult task (e.g., separating multiple people simultaneously speaking). This is further complicated by real-world recording conditions (e.g., background noise, reverberation, etc.). Scarce text annotations impose another constraint, limiting the ability to scale models. Finally, modeling high-fidelity audio requires encoding audio at high sampling rate, leading to extremely long sequences. To alleviate the aforementioned challenges we propose an augmentation technique that mixes different audio samples, driving the model to internally learn to separate multiple sources. We curated 10 datasets containing different types of audio and text annotations to handle the scarcity of text-audio data points. For faster inference, we explore the use of multi-stream modeling, allowing the use of shorter sequences while maintaining a similar bitrate and perceptual quality. We apply classifier-free guidance to improve adherence to text. Comparing to the evaluated baselines, AudioGen outperforms over both objective and subjective metrics. Finally, we explore the ability of the proposed method to generate audio continuation conditionally and unconditionally. Samples: this https URL",2024-02-26 20:48,Anonymous,,0,"Multinational,Israel",,,,,,,,,,,,"Industry,Academia",checked,,,0
Flan UL2,Language,Language generation,,,"""We compare Flan-UL2 20B with other models in the Flan series. We report relative improvements over Flan-T5-XXL. Generally, Flan-UL2 outperforms Flan-T5 XXL on all four setups with an overall decent performance lift of +3.2% relative improvement""",Permissive license,"https://www.yitay.net/blog/flan-ul2-20b, https://arxiv.org/abs/2205.05131",99.00,A New Open Source Flan 20B with UL2,2023-03-03,Google,19500000000.00,19.5B per https://www.yitay.net/blog/flan-ul2-20b,,,"C4,Flan",UL2 was pre-trained on C4. Flan UL2 is then instruction-tuned using the Flan dataset,,,,,,,,,,,,,Likely,"Flan-UL2 is an encoder decoder model based on the T5 architecture. It uses the same configuration as the UL2 model released earlier last year. It was fine tuned using the ""Flan"" prompt tuning and dataset collection.",2024-02-02 17:45,Anonymous,,0,Multinational,UL2,,"From paper (https://arxiv.org/pdf/2205.05131.pdf), they say that ""we opt to train UL2 for another 100K steps"" with Flan instruction tuning. Not sure what the batch size is here though. In other parts of the paper they use batch sizes of 128 or 1024.

Either way, small compared to pre-training compute.",,,,,,,,,Industry,,,,0
DiT-XL/2,Image generation,Image generation,"William Peebles, Saining Xie",SOTA improvement,"""our largest DiT-XL/2 models outperform all prior diffusion models on the classconditional ImageNet 512×512 and 256×256 benchmarks,
achieving a state-of-the-art FID of 2.27 on the latter.""",,https://arxiv.org/abs/2212.09748,216.00,Scalable Diffusion Models with Transformers,2023-03-02,"New York University (NYU),UC Berkeley",675000000.00,675M,600000000000000000000.00,"~6e20, based on eyeballing Figure 9. It's between 1e11 and 1e12 gigaflop (1 gigaflop = 1e9 flop), and about 80% of the way towards 1e12 on a log scale. 10^0.8 is about 6. 

3M iterations with a batch size of 256.",ImageNet,,,didn't state which ImageNet set,,524600000000.00,524.6 billion FLOP for 512x512 (table 4),,,Google TPU v3,,,,,Likely,"We explore a new class of diffusion models based on the transformer architecture. We train latent diffusion models of images, replacing the commonly-used U-Net backbone with a transformer that operates on latent patches. We analyze the scalability of our Diffusion Transformers (DiTs) through the lens of forward pass complexity as measured by Gflops. We find that DiTs with higher Gflops -- through increased transformer depth/width or increased number of input tokens -- consistently have lower FID. In addition to possessing good scalability properties, our largest DiT-XL/2 models outperform all prior diffusion models on the class-conditional ImageNet 512x512 and 256x256 benchmarks, achieving a state-of-the-art FID of 2.27 on the latter.",2024-03-01 09:18,Anonymous,,0,"United States of America,United States of America",,,,,,,,,,,,"Academia,Academia",,,,0
Cohere Command,Language,Language modelling/generation,,,,API accessible,https://cohere.com/models/command,,"World-class AI, at your command",2023-03-01,Cohere,52000000000.00,"52B for larger version

https://aws.amazon.com/bedrock/cohere-command-embed/

Cohere Command has had a few different sizes over time and is continuously updated, but there's been a 52B version since at least March 2023: https://twitter.com/percyliang/status/1638236921754443776",,,,,,,,,,,"https://docs.cohere.com/docs/environmental-impact

2696.16 kg carbon for base-light and 6689.76 kg carbon for embed-english. Nothing listed for the large model. 

It's possible to back out GPU-hours using this calculator, though it varies by region and Cohere doesn't specify the region.

https://mlco2.github.io/impact/",Google TPU v4,,,,Industry,Speculative,,2024-02-26 20:48,Anonymous,,,Canada,,,,,,,,,,,,Industry,checked,,,0
Palmyra Large 20B,Language,Language modelling,,,,Permissive license,https://huggingface.co/Writer/palmyra-large,,,2023-03-01,Writer,20000000000.00,20B parameters for Palmyra Large. There is also a 43B version called Palmyra X according to HELM.,9.6e+22,"""Palmyra-Large is a 20B parameters causal decoder-only model built by Writer and trained on +800B tokens of Palmyra-Index-Data enhanced with curated corpora.""

I'm not sure if the 800B is how many tokens the model was trained on, or the size of the dataset. But the dataset linked on HuggingFace has 1T tokens, so 800B as tokens trained is more likely.

20B*800B*6 = 9.6e22",,"Writer's custom dataset, English text",750000000000,"1 trillion tokens, or 750B words: https://huggingface.co/datasets/Writer/palmyra-data-index",0.80,,,,,,,,,,Speculative,"Palmyra Large was primarily pre-trained with English text. Note that there is still a trace amount of non-English data present within the training corpus that was accessed through CommonCrawl. A causal language modeling (CLM) objective was utilized during the process of the model's pretraining. Similar to GPT-3, Palmyra Large is a member of the same family of models that only contain a decoder. As a result, it was pre-trained utilizing the objective of self-supervised causal language modeling.",2024-03-05 07:42,Anonymous,,0,United States of America,,,,,,,,,,,,Industry,,,,0
Jurassic-2 Jumbo,Language,"Language modelling,Translation",,,,,https://www.ai21.com/blog/introducing-j2,,Announcing Jurassic-2 and Task-Specific APIs,2023-03-01,AI21 Labs,178000000000.00,Source is https://crfm.stanford.edu/helm/latest/#/leaderboard as viewed on 2023-12-06,,,,,,,,,,,,,,,,Industry,,"Announcing the launch of Jurassic-2, the latest generation of AI21 Studio’s foundation models, a game-changer in the field of AI, with top-tier quality and new capabilities. And that's not all - we're also releasing our task-specific APIs, with plug-and-play reading and writing capabilities that outperform competitors.",2024-01-11 12:07,Anonymous,,0,Israel,,,,,,,,,,,,Industry,,,,0
gpt-sw3-40b,Language,"Language modelling/generation,Chat",AI Sweden,,,Permissive license,https://huggingface.co/AI-Sweden-Models/gpt-sw3-40b,,gpt-sw3-40b,2023-03-01,AI Sweden,40000000000.00,40B,7.68e+22,"aproximation 6ND = 6*320E9*40e9 = 7.68e22
""GPT-SW3 has been trained on a dataset containing 320B tokens in Swedish, Norwegian, Danish, Icelandic, English, and programming code.""","The Pile,Common Crawl,mC4,Wikipedia", https://huggingface.co/AI-Sweden-Models/gpt-sw3-40b#composition,,"320B tokens
""GPT-SW3 has been trained on a dataset containing 320B tokens in Swedish, Norwegian, Danish, Icelandic, English, and programming code.""""",,80000000000.00,2N,,,,Self-supervised learning,,,,Likely,,2024-02-20 15:11,Bartosz Podkanowicz,,,Sweden,,,,,,,,,,,,,,,,0
CodeGen-Mono 16.1B,Language,"Code generation,Code autocompletion","Erik Nijkamp, Bo Pang, Hiroaki Hayashi, Lifu Tu, Huan Wang, Yingbo Zhou, Silvio Savarese, Caiming Xiong",,"Not as good as code-davinci-001 or code-davinci-002, per Table 1",Fully open-source,https://arxiv.org/abs/2203.13474,381.00,CodeGen: An Open Large Language Model for Code with Multi-Turn Program Synthesis,2023-02-27,Salesforce,16100000000.00,16.1B parameters,,,"The Pile,Big Query,BigPython","""The family of CODEGEN models is trained sequentially on three datasets: The Pile, BigQuery, and BigPython.""",,,,,,,,Google TPU v4,,,,,Likely,"""Program synthesis strives to generate a computer program as a solution to a given problem specification, expressed with input-output examples or natural language descriptions. The prevalence of large language models advances the state-of-the-art for program synthesis, though limited training resources and data impede open access to such models. To democratize this, we train and release a family of large language models up to 16.1B parameters, called CODEGEN, on natural language and programming language data, and open source the training library JAXFORMER. We show the utility of the trained model by demonstrating that it is competitive with the previous state-of-the-art on zero-shot Python code generation on HumanEval. We further investigate the multi-step paradigm for program synthesis, where a single program is factorized into multiple prompts specifying subproblems. To this end, we construct an open benchmark, Multi-Turn Programming Benchmark (MTPB), consisting of 115 diverse problem sets that are factorized into multi-turn prompts. Our analysis on MTPB shows that the same intent provided to CODEGEN in multi-turn fashion significantly improves program synthesis over that provided as a single turn. We make the training library JAXFORMER and model checkpoints available as open source contribution: this https URL.""",2024-03-01 09:17,Anonymous,,,United States of America,,,,,,,,,,,,Industry,,,,0
