System,Domain,Task,Authors,Notability criteria,Notability criteria notes,Open-source,Link,Citations,Reference,Publication date,Organization,Organization categorization,Parameters,Parameters notes,Training compute (FLOP),Training compute notes,Training dataset,Training dataset notes,Training dataset size (datapoints),Dataset size notes,Epochs,Inference compute (FLOP),Inference compute notes,Training time (hours),Training time notes,Training hardware,Name of the hardware (from Training hardware),Approach,Training compute cost (2020 USD),Compute cost notes,Compute sponsor categorization,Confidence,Abstract,Last modified,Created By,Benchmark data,Exclude,Country (from Organization),Organization (from Organization),Base model,Finetune compute (FLOP),Finetune compute notes,Authors by country,Hardware quantity,Hardware utilization,Training cost trends
Samuel Neural Checkers,Games,Checkers,Arthur L. Samuel,Highly cited,,,https://ieeexplore.ieee.org/abstract/document/5392560,4404.00,Some studies in machine learning using the game of checkers,1959-07-01,IBM,Industry,16.00,"""with 16 terms for generalization learning""

""Mention has been made several times of the procedure
for replacing terms in the scoring polynomial. The program, as it is currently running, contains 38 different
terms (in addition to the piece-advantage term), 16 of
these being included in the scoring polynomial at anyone
time and the remaining 22 being kept in reserve.""",428400000.00,"""it can learn to do this in a remarkably short period of time 8 or 10 hours of machine-playing time)""

""The availability of a larger and faster machine (the IBM 704), coupled with many detailed changes in the programming procedure, leads to a fairly interesting game being played, even without any learning.""

""The Type 704 is the first large-scale, commercially available computer to employ fully automatic floating point arithmetic commands. [...]. Floating point addition or subtraction operations require 84 microseconds.""

source: https://www.ibm.com/ibm/history/exhibits/mainframe/mainframe_PP704.html

""An idea of the learning ability of this procedure can be gained by analyzing an initial test series of 28 games""

""Each game averaged 68 moves (34 to a side), of which approximately 20 caused changes to be made in the scoring polynomial.""",,,53000,"Based on number of board positions

At the present time the memory tape contains something over 53,000 board positions (averaging 3.8 word search) which have been selected from a much larger
number of positions by means of the culling techniques
described. While this is still far from the number which
would tax the listing and searching procedures used in
the program, rough estimates, based on the frequency
with which the saved boards are utilized during normal
play (these figures being tabulated automatically), indicate that a library tape containing at least 20 times the
present number of board positions would be needed to
improve the midgame play significantly. At the present
rate of acquisition of new positions this would require
an inordinate amount of play and, consequently, of
machine time.",,,,,,,,,,,Industry,,,2023-12-05 04:33,Robi Rahman,,,Multinational,IBM,,,,Samuel Neural Checkers,,,
Pattern recognition and reading by machine,Vision,Character recognition,"W. W. Bledsoe, I. Browning",Historical significance,,,https://dl.acm.org/doi/10.1145/1460299.1460326,587.00,Pattern recognition and reading by machine,1959-12-01,Sandia Corporation,Industry,2625.00,A two bit state is recorded for each of the 75 cell pairs and each of the 25+10 characters recognized.,,,,,,,,,,,,,,,,,Industry,,,2023-11-26 03:25,Robi Rahman,,,United States of America,Sandia Corporation,,,,Pattern recognition and reading by machine,,,
LMS,,,Widrow and Hoff,Highly cited,,,https://www.scirp.org/(S(351jmbntvnsjt1aadkposzje))/reference/ReferencesPapers.aspx?ReferenceID=547230,6329.00,Adaptive switching circuits (technical report),1960-06-30,Stanford University,Academia,,,,,,,,,,,,,,,,,,,Academia,,,2023-11-26 03:25,Robi Rahman,,,United States of America,Stanford University,,,,LMS,,,
ADALINE,Vision,Pattern recognition,Widrow and Hoff,Highly cited,,,https://isl.stanford.edu/~widrow/papers/c1960adaptiveswitching.pdf,6329.00,Adaptive switching circuits,1960-06-30,Stanford University,Academia,17.00,"""The machine's total experience is stored in the values of the weights a0,...,a16""",9900.00,"""The method of searching that has proven most useful is the method of steepest descent""

Apparently each pattern was only shown once to the system.

So the training compute is (forward pass compute) * (3 for backprop) * dataset size",,,100,"""The best system, arrived at by slow precise adaptation on the full body of 100 noisy patterns, was able to classify these patterns as desired except for twelve errors.""

https://isl.stanford.edu/~widrow/papers/c1960adaptiveswitching.pdf",,33.00,We have 16 weights and a bias parameter. So 16 multadds and an add. The result is then thresholded to produce a binary output.,,,,,,,,Academia,,,2023-11-26 03:25,Robi Rahman,,,United States of America,Stanford University,,,,ADALINE,,,
Heuristic problem solving for AI,,,Marvin Minsky,Highly cited,,,https://ieeexplore.ieee.org/abstract/document/4066245,2430.00,Steps Toward Artificial Intelligence,1961-01-01,Massachusetts Institute of Technology (MIT),Academia,,,,,,,,,,,,,,,,,,,Academia,,,2023-11-26 03:25,Robi Rahman,,,United States of America,Massachusetts Institute of Technology (MIT),,,,Heuristic problem solving for AI,,,
PAPA,,Binary classification,"A Gamba, L Gamberini, G Palmieri, R Sanna",,,,https://www.semanticscholar.org/paper/Further-experiments-with-PAPA-Gamba-Gamberini/c3a20b9aa86033cec29f08e69f4bc81e8b329ae2,24.00,Further experiments with PAPA,1961-09-01,University of Genoa,Academia,,,,,,,,,,,,,,,,,,,Academia,,,2023-11-21 01:39,Robi Rahman,,,Italy,University of Genoa,,,,,,,
MADALINE I,,,William Combs Ridgway,Historical significance,,,https://www.proquest.com/openview/7898314db50a218b58052ac91e3bde1e/1?,75.00,An adaptive logic system with generalizing properties,1962-07-01,Stanford University,Academia,,,,,,,,,,,,,,,,,,,Academia,,,2023-11-26 03:25,Robi Rahman,,,United States of America,Stanford University,,,,MADALINE I,,,
STeLLA,,,J.H. Andreae and Peter L. Joyce,,,,https://www.researchgate.net/publication/252919025_STELLA_A_scheme_for_a_learning_machine,34.00,STeLLA: A Scheme for a Learning Machine,1963-06-01,University of Canterbury,Academia,,,,,,,,,,,,,,,,,,,Academia,,,2023-11-21 01:39,Robi Rahman,,,New Zealand,University of Canterbury,,,,,,,
MENACE,Games,Tic Tac Toe,Donald Michie,,,,https://academic.oup.com/comjnl/article/6/3/232/360077,46.00,Experiments on the Mechanization of Game-Learning Part I. Characterization of the Model and its parameters,1963-11-01,University of Edinburgh,Academia,,,,,,,,,,,,,,,,,,,Academia,,,2023-11-21 01:39,Robi Rahman,,,United Kingdom of Great Britain and Northern Ireland,University of Edinburgh,,,,,,,
Samuel Neural Checkers II,Games,Checkers,"Palmieri, G. and R. Sanna",,,,https://www.cs.virginia.edu/~evans/greatworks/samuel.pdf,747.00,Some studies in machine learning using the game of checkers. Part II,1967-11-01,University of Geneva,Academia,40.00,"""The total number of parameters used at any one time has been varied from a very few to as many as 40""",,,,,,,,,,,,,,,,,Academia,,,2023-11-21 01:39,Robi Rahman,,,Switzerland,University of Geneva,,,,,,,
GLEE,Games,Tic Tac Toe,Michie and Chambers,Historical significance,,,https://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.474.2430,590.00,Boxes: An Experiment in Adaptive Control,1968-07-01,University of Edinburgh,Academia,,,,,,,,,,,,,,,,,,,Academia,,,2023-11-26 03:25,Robi Rahman,,,United Kingdom of Great Britain and Northern Ireland,University of Edinburgh,,,,GLEE,,,
BOXES,Games,Pole balancing,Michie and Chambers,Historical significance,,,https://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.474.2430,590.00,Boxes: An Experiment in Adaptive Control,1968-07-01,University of Edinburgh,Academia,,,,,,,,,,,,,,,,,,,Academia,,,2023-11-26 03:25,Robi Rahman,,,United Kingdom of Great Britain and Northern Ireland,University of Edinburgh,,,,BOXES,,,
Graph-based structural reasoning,,,Patrick Winston,Highly cited,,,https://dspace.mit.edu/handle/1721.1/6884,1805.00,Learning Structural Definitions from Examples,1970-09-01,Massachusetts Institute of Technology (MIT),Academia,,,,,,,,,,,,,,,,,,,Academia,,,2023-11-26 03:25,Robi Rahman,,,United States of America,Massachusetts Institute of Technology (MIT),,,,Graph-based structural reasoning,,,
Punish/Reward,Games,Blackjack,"Widrow, Gupta, and Maitra",,,,https://ieeexplore.ieee.org/document/4309272,397.00,Punish/Reward: Learning with a Critic in Adaptive Threshold Systems,1973-09-01,IEEE,Academia,21.00,"Fig. 1 shows that there is a bias term, while Fig. 5 shows that the input is a sequence of 20 bits, corresponding to 20 weights. So the total number of parameters is 21.",,,,,,??? Seemingly no info,,,,,,,,,,,Academia,,,2023-11-21 01:39,Robi Rahman,,,Multinational,IEEE,,,,,,,
Naive Bayes,Vision,,Duda and Hart,Highly cited,,,https://www.semanticscholar.org/paper/Pattern-classification-and-scene-analysis-Duda-Hart/b07ce649d6f6eb636872527104b0209d3edc8188,23127.00,Pattern Classification and Scene Analysis,1974-09-01,Stanford Research Institute,Industry,,,,,,,,,,,,,,,,,,,Industry,,,2023-11-26 03:25,Robi Rahman,,,United States of America,Stanford Research Institute,,,,Naive Bayes,,,
Cognitron,,,Kunihiko Fukushima,Historical significance,Precursor of the Neocognitron,,https://link.springer.com/article/10.1007%2FBF00342633,791.00,Cognitron: a self-organizing multilayered neural network,1975-09-01,Biological Cybernetics,Industry,,,,,,,,??? Seemingly no info,,,,,,,,,,,Industry,,,2023-11-26 03:25,Robi Rahman,,,Japan,Biological Cybernetics,,,,Cognitron,,,
TD(0),,,Ian Witten,Historical significance,,,https://www.sciencedirect.com/science/article/pii/S0019995877903540,269.00,An adaptive optimal controller for discrete-time Markov environments,1977-08-01,University of Essex,Academia,,,,,,,,??? Seemingly no info,,,,,,,,,,,Academia,,,2023-11-26 03:25,Robi Rahman,,,United Kingdom of Great Britain and Northern Ireland,University of Essex,,,,TD(0),,,
Internal functionality of visual invariants,Vision,,Koenderink & van Doom,Historical significance,,,https://link.springer.com/article/10.1007/BF00337644,981.00,The internal representation of solid shape with respect to vision,1979-05-02,Utrecht University,Academia,,,,,,,,??? Seemingly no info,,,,,,,,,,,Academia,,,2023-11-26 03:25,Robi Rahman,,,Netherlands,Utrecht University,,,,Internal functionality of visual invariants,,,
Neocognitron,Vision,Character recognition,"K Fukushima, S Miyake",Highly cited,,,https://link.springer.com/article/10.1007/BF00344251,5782.00,Neocognitron: A self-organizing neural network model for a mechanism of pattern recognition unaffected by shift in position,1980-04-01,NHK Broadcasting Science Research Laboratories,Industry,1140576.00,"""The synaptic connections from S-layers to C-layers
are fixed and unmodifiable. [...]
The numbers of excitatory cells in these seven layers are: 16x16 in U0, 16x16x24 in Us1, 10x10x 24 in Uc1, 8x8x24 in Us2, 6x 6x 24 in Uc2, 2x2x24 in Us3, and 24 in Uc3 
[...]
 the number of input synapses to each S-cell is 5 x 5 in layer Us1 and 5x5x24 in layers Us2 and Us3
[...]
The number of excitatory input synapses to each C-cell is 5x5 in layers Uc1 and Uc2, and is 2x2 in
layer Uc3
""

The number of synapses into each S-layer is:

S1: (16*16*24)*(5*5) 
S2: (8*8*24)*(5*5*24)
S3: (2*2*24)*(5*5*24)

We assume one parameter a per synapse into each cell in a S-layer, and one parameter b per each cell in a S-layer.",228115200.00,"""It does not necessarily mean that all of these input synapses are
always fully reinforced. In usual situations, only some of these input synapses are reinforced, and the rest of them remains in small values [...] Each of the five stimulus patterns has been presented 20 times to the network. By that time, self organization of the network has almost been completed.""

We multiply by 2 to account for multadds
",,,5,"""In order to self-organize the network, we have presented five stimulus patterns ""0"", ""1"", ""2"", ""3"", and ""4"", which are shown in Fig. 6""",,,,,,,,,,,Industry,,,2023-11-26 03:25,Robi Rahman,,,Japan,NHK Broadcasting Science Research Laboratories,,,,Neocognitron,,,
Kohonen network,Other,Dimensionality reduction,T Kohonen,Highly cited,,,https://link.springer.com/article/10.1007/BF00337288,11841.00,Self-organized formation of topologically correct feature maps,1981-07-25,Helsinki University of Technology,Academia,4096.00,"The input vectors are 3D.
I could not find the grid size, but from the images it looks 8x8.
So the network was 8x8x3 parameters.",,,,,,??? Seemingly no info,,,,,,,,,,,Academia,,,2023-11-26 03:25,Robi Rahman,,,Finland,Helsinki University of Technology,,,,Kohonen network,,,
Hopfield network,Other,Sequence memorization,JJ Hopfield,Highly cited,,,https://www.pnas.org/doi/10.1073/pnas.79.8.2554,23315.00,Neural networks and physical systems with emergent collective computational abilities,1982-04-01,California Institute of Technology,Academia,9900.00,"My understanding is that the biggest Hopfield networks they studied had N=100 units. 

Each unit has 99 synapses Tij from each other unit, for a total of 100*99 parameters",,,,,,,,,,,,,,,,,Academia,,,2023-11-26 03:25,Robi Rahman,,,United States of America,California Institute of Technology,,,,Hopfield network,,,
ASE+ACE,Games,Pole balancing,"Andrew G. Barto, Richard S. Sutton, and Charles W. Anderson",Highly cited,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6313077,4296.00,Neuronlike adaptive elements that can solve difficult learning control problems,1983-09-01,Stanford University,Academia,324.00,,,,,,,,,,,,,,,,,,Academia,,,2023-11-26 03:25,Robi Rahman,,,United States of America,Stanford University,,,,ASE+ACE,,,
Learnability theory of language development,Language,,Steven Pinker,Highly cited,,,https://psycnet.apa.org/record/1985-97439-000,4730.00,Language learnability and language development,1984-07-01,Massachusetts Institute of Technology (MIT),Academia,,,,,,,,,,,,,,,,,,,Academia,,,2023-11-26 03:25,Robi Rahman,,,United States of America,Massachusetts Institute of Technology (MIT),,,,Learnability theory of language development,,,
Error Propagation,,,"D. E. Rumelhart, G. E. Hinton, and R. J. Williams",Highly cited,,,https://stanford.edu/~jlmcc/papers/PDP/Volume%201/Chap8_PDP86.pdf,27322.00,Learning internal representations by error propagation,1986-01-03,"UC San Diego,Carnegie Mellon University (CMU)",Academia,,,,,,,,,,,,,,,,,,,Academia,,,2023-11-26 03:25,Robi Rahman,,,"United States of America,United States of America","UC San Diego, Carnegie Mellon University (CMU)",,,,Error Propagation,,,
Learning past tenses,Language,Verb conjugation,"Rumelhart, D. E., & McClelland, J. L",,,,https://www.semanticscholar.org/paper/On-learning-the-past-tenses-of-English-verbs%3A-rules-Rumelhart-McClelland/4fa569625b5ab35e955a8d5be11a4aa9f59ca424,318.00,Learning the past tenses of English verbs: Implicit rules or parallel distributed processing?,1986-01-03,Stanford University,Academia,211600.00,"Source: https://files.eric.ed.gov/fulltext/ED267419.pdf
p.9: network architecture is given, with two layers of hidden units. The hidden units are  called “Wickelfeature representation”. The “modifiable connections” are only between the hidden units. p.19: “All in all then, we used only 460 of the 1,210 possible Wickelfeatures. Using this representation, a verb is represented by a pattern of activation over a set of 460 Wickelfeature units.""",,,,,,,,,,,,,,,,,Industry,,,2023-11-21 01:39,Robi Rahman,,,United States of America,Stanford University,,,,,,,
PDP model for serial order,,,"Jordan, M.I.",Highly cited,,,https://www.osti.gov/biblio/6910294,1502.00,Serial order: A parallel distributed processing approach,1986-01-05,UC San Diego,Academia,,,,,,,,,,,,,,,,,,,Academia,,,2023-11-26 03:25,Robi Rahman,,,United States of America,UC San Diego,,,,PDP model for serial order,,,
Back-propagation,Other,Learning to complete triples,"Rumelhart, David E.; Hinton, Geoffrey E.; Williams, Ronald J.",Highly cited,,,https://www.semanticscholar.org/paper/Learning-representations-by-back-propagating-errors-Rumelhart-Hinton/052b1d8ce63b07fec3de9dbb583772d860b7c769,25301.00,Learning representations by back-propagating errors,1986-10-01,"UC San Diego,Carnegie Mellon University (CMU)",Academia,144.00,Figure 4 includes a representation of the weights learned by the people to relationship network,124416000.00,"We assume that the number of mult-adds per pass is equal to the number of parameters.

""We trained the network for 1500 sweeps""

There are 12*12 possible pairs of people, so we assume that is the dataset size",,,144,"There are 12*12 possible pairs of people, so we assume that is the dataset size",,288.00,We assume that the number of mult-adds is equal to the number of parameters.,,,,,Unsupervised,,,Academia,,,2023-11-26 03:25,Robi Rahman,,,"United States of America,United States of America","UC San Diego, Carnegie Mellon University (CMU)",,,,Back-propagation,,,
Optimized Multi-Scale Edge Detection,Vision,,John Canny,Highly cited,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4767851,37931.00,A Computational Approach To Edge Detection,1986-11-01,Massachusetts Institute of Technology (MIT),Academia,,,,,,,,,,,,,,,,,,,Academia,,,2023-11-26 03:25,Robi Rahman,,,United States of America,Massachusetts Institute of Technology (MIT),,,,Optimized Multi-Scale Edge Detection,,,
NetTalk (transcription),Speech,Speech synthesis,"TJ Sejnowski, CR Rosenberg",Highly cited,,,http://citeseerx.ist.psu.edu/viewdoc/download;jsessionid=03A3D3EDF0BAF35405ABCF083411B55E?doi=10.1.1.154.7012&rep=rep1&type=pdf,2558.00,Parallel Networks that Learn to Pronounce English Text,1987-06-06,Princeton University,Academia,18629.00,"""The connections in the network are specified by a total of 18629
weight parameters (including a variable threshold for each unit)""",28328002560.00,18629 params * 2 FLOP/param * (3 for forward + backward pass) * 55 epochs * 1024 words/epoch * 4.5 letters/word,,,1024,"We used the first two pages of transcriptions, which contained 1024 words from a child in firstgrade",55.00,,,,,,,,,,Academia,,,2023-11-26 03:25,Robi Rahman,,,United States of America,Princeton University,,,,NetTalk (transcription),,,
NetTalk (dictionary),Speech,Speech synthesis,"TJ Sejnowski, CR Rosenberg",Highly cited,,,http://citeseerx.ist.psu.edu/viewdoc/download;jsessionid=03A3D3EDF0BAF35405ABCF083411B55E?doi=10.1.1.154.7012&rep=rep1&type=pdf,2558.00,Parallel Networks that Learn to Pronounce English Text,1987-06-06,Princeton University,Academia,18629.00,"""The connections in the network are specified by a total of 18629 weight parameters (including a variable threshold for each unit)""",27664065000.00,18629 params * 2 FLOP/param * (3 for forward + backward pass) * 55 epochs * 1000 words/epoch * 4.5 letters/word,,,1000,"""A subset of the 1000 most commonly occurring words was selected from this dictionary based on frequency counts in the Brown corpus""",55.00,,,,,,,,,,,,,2023-11-26 03:25,Anonymous,,,United States of America,Princeton University,,,,NetTalk (dictionary),,,
Motion-Driven 3D Feature Tracking,Vision,,Harris & Stephens,Highly cited,,,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.434.4816&rep=rep1&type=pdf,19068.00,A Combined Corner and Edge Detector,1988-07-01,Roke Manor Research,Industry,,"""The simulation studies reported here all involved a 16-bit input pattern. """,,,,,1500,"""The total number of possible input patterns was 65,536. Training sets of 650 and 1500 patterns picked at random from this total were used.""",,,,,,,,,,,Industry,,,2023-11-26 03:25,Robi Rahman,,,United Kingdom of Great Britain and Northern Ireland,Roke Manor Research,,,,Motion-Driven 3D Feature Tracking,,,
Adaptive Broom Balancer,Games,Pole balancing,"VV Tolat, B Widrow",,,,https://ieeexplore.ieee.org/document/23982,80.00,An Adaptive “Broom Balancer” with Visual Inputs,1988-07-24,Stanford University,Academia,110.00,Figure 3,,,,,,,,,,,,,,,,,Academia,,,2023-11-21 01:39,Robi Rahman,,,United States of America,Stanford University,,,,,,,
MADALINE II,Other,Pattern classification,"Rodney Winter, Bernard Widrow",,,,https://ieeexplore.ieee.org/document/23872,81.00,MADALINE RULE II: A Training Algorithm for Neural Networks,1988-07-24,Stanford University,Academia,,,,,,,,,,,,,,,,,,,Academia,,,2023-11-21 01:39,Robi Rahman,,,United States of America,Stanford University,,,,,,,
Innervator,Other,Pattern classification,"Geoffrey Miller, Peter Todd, and Shailesh Hegde",Highly cited,,,https://www.researchgate.net/publication/220885651_Designing_Neural_Networks_using_Genetic_Algorithms,1132.00,Designing neural networks using genetic algorithms,1989-01-01,"Stanford University,California Institute of Technology",Academia,10.00,Each net has 5 units,120000000.00,10 params * 6 FLOP/param/pass * 4 datapoints * 1000 epochs * 50 individuals * 10 generations,,,4,,,,,,,,,,,,,,,2023-11-26 03:25,Robi Rahman,,,"United States of America,United States of America","Stanford University, California Institute of Technology",,,,Innervator,,,
Q-learning,,,Christopher Watkins,Highly cited,,,http://www.cs.rhul.ac.uk/~chrisw/thesis.html,8025.00,Learning from delayed rewards,1989-01-01,University of London,Academia,,,,,,,,,,,,,,,,,,,Academia,,,2023-11-26 03:25,Robi Rahman,,,United Kingdom of Great Britain and Northern Ireland,University of London,,,,Q-learning,,,
Time-delay neural networks,,,"A. Waibel, T. Hanazawa, G. Hinton, K. Shikano, and K. J. Lang",Highly cited,,,https://ieeexplore.ieee.org/abstract/document/21701,3445.00,Phoneme recognition using time-delay neural networks,1989-03-03,"Advanced Telecommunications Research Institute,Carnegie Mellon University (CMU)",Industry - Academia Collaboration,,,,,,,,,,,,,,,,,,,Industry,,,2023-11-26 03:25,Robi Rahman,,,"Japan,United States of America","Advanced Telecommunications Research Institute, Carnegie Mellon University (CMU)",,,,Time-delay neural networks,,,
Universal approximation via Feedforward Networks,,,Kurt Hornik & Maxwell Stinchcombe & Halbert White,Highly cited,,,https://www.sciencedirect.com/science/article/abs/pii/0893608089900208,21663.00,Multilayer feedforward networks are universal approximators,1989-03-09,"UC San Diego,Technische Universität Wien",Academia,,,,,,,,,,,,,,,,,,,Academia,,,2023-11-26 03:25,Robi Rahman,,,"United States of America,Austria","UC San Diego, Technische Universität Wien",,,,Universal approximation via Feedforward Networks,,,
Zip CNN,Vision,Character recognition,Y. LeCun B. Boser J. S. Denker D. Henderson R. E. Howard W. Hubbard L. D. Jackel,Highly cited,,,https://ieeexplore.ieee.org/document/6795724,9704.00,Backpropagation applied to handwritten zip code recognition,1989-12-01,"AT&T,Bell Laboratories",Industry,9760.00,"""In summary, the network has 1256 units, 64,660 connections, and 9760 independent parameters""",43372117520.00,"Its a deep CNN so we assume a backward-forward ratio of 2:1

""The network was trained for 23
passes through the training set (167,693 pattern presentations).""",Buffalo zips,"""The data base used to train and test the network consists of 9298 segmented numerals digitized from handwritten zip codes
that appeared on U.S. mail passing through the Buffalo, NY post office.
Examples of such images are shown in Figure 1. The digits were written
by many different people, using a great variety of sizes, writing styles,
and instruments, with widely varying amounts of care; 7291 examples
are used for training the network and 2007 are used for testing the generalization performance. One important feature of this data base is that
both the training set and the testing set contain numerous examples that
are ambiguous, unclassifiable, or even misclassified. """,7291,"The digits were written
by many different people, using a great variety of sizes, writing styles,
and instruments, with widely varying amounts of care; 7291 examples
are used for training the network and 2007 are used for testing the generalization performance",,129320.00,Roughly twice the number of connections,,,,,,,,Industry,,,2023-12-05 04:33,Robi Rahman,,,"United States of America,United States of America","AT&T, Bell Laboratories",,,,Zip CNN,,,
